,hourly_dayahead_dol_per_kwh,realtime_production_kwh,realtime_supplied_kwh,solar_production_kwh,electrolyser_consumption_kwh,compressor_consumption_kwh,liquefaction_consumption_kwh,electrolyser_produced_kg,compressor_produced_kg,liquefaction_produced_kg,compress_to_liquefaction,fuel_cell_consumed_kg,gh2_storage_level_kg,gh2_storage_net_inflow,gh2_storge_inflow_kg,gh2_storage_outflow_kg
479,0.02118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.854067431908014,0.0,0.0,0.0
480,0.019379999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.854067431908014,0.0,0.0,0.0
481,0.019940000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.854067431908014,0.0,0.0,0.0
482,0.01907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.854067431908014,0.0,0.0,0.0
483,0.01952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.854067431908014,0.0,0.0,0.0
484,0.0208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.854067431908014,0.0,0.0,0.0
485,0.02102,2.689832177895571,0.0,0.0,0.0,0.0,2.689832177895571,0.0,0.0,0.26898321778955714,0.0,0.0,6.854067431908014,-0.26898321778955714,0.0,0.26898321778955714
486,0.03774,5.379664355791142,0.0,0.0,0.0,0.0,5.379664355791142,0.0,0.0,0.5379664355791143,0.0,0.0,6.5850842141184565,-0.5379664355791143,0.0,0.5379664355791143
487,0.03454,0.0,0.0,40.77010192525481,30.483615195529573,2.2169901960385143,8.069496533686713,0.5542475490096286,0.5542475490096286,0.8069496533686714,0.5542475490096286,0.0,6.047117778539342,-0.2527021043590427,0.0,0.2527021043590427
488,0.02934,0.0,0.0,108.2954452852981,90.92349850092153,6.612618072794293,10.759328711582285,1.6531545181985732,1.6531545181985732,1.0759328711582286,1.0759328711582286,0.0,5.7944156741803,0.5772216470403446,0.5772216470403446,0.0
489,0.025589999999999998,0.0,0.0,110.98527746319367,90.92349850092153,6.612618072794293,13.449160889477856,1.6531545181985732,1.6531545181985732,1.3449160889477856,0.0,0.0,6.3716373212206445,0.3082384292507876,1.6531545181985732,1.3449160889477856
